Baraga Solar project 3 - 2018 data (Differentiator: Higher DC to AC ratio),,NOTES:,
Latitude,  46.69 ,"Location selected for EJ /policy reasons (because it is situated in a Native community), and selected locally for being in an area with better solar resource",
Longitude,  (88.62),,
System capacity (kW DC),1000,<-- auto-generated by SAM,
System capacity (W DC),"  1,000,000 ",,
DC to AC ratio,1.34,This is recommended by ATB. Higher,
AC capacity (kW AC),746.27,Found on SAM. Lower,
AC capacity (W AC),"  746,270 ",,
Mean capacity factor (%),18.6%,"Very low, worse than class 10",But better than Baraga 2
Capex (overnight cap cost) ($/kw)," $ 1,230.00 ","Class 10 - Moderate, 2022",
Fixed OPEX ($/kw-year), $ 22.03 ,"Class 10 - Moderate, 2022",
,,,
FROM SAM DATA DOWNLOAD					,,CALCULATED COLUMN,
Time stamp,AC inverter output power | (W),Capacity Factor (%),
"Jun 22, 04:00 am",0,0.00%,
"Jun 22, 05:00 am",0,0.00%,
"Jun 22, 06:00 am",0,0.00%,
"Jun 22, 07:00 am",0,0.00%,
"Jun 22, 08:00 am",0,0.00%,
"Jun 22, 09:00 am",0,0.00%,
"Jun 22, 10:00 am",8511.05,1.14%,
"Jun 22, 11:00 am",25218.2,3.38%,
"Jun 22, 12:00 pm",89435.1,11.98%,
"Jun 22, 01:00 pm",285304,38.23%,
"Jun 22, 02:00 pm",453300,60.74%,
"Jun 22, 03:00 pm",550672,73.79%,
"Jun 22, 04:00 pm",569170,76.27%,
"Jun 22, 05:00 pm",582710,78.08%,
"Jun 22, 06:00 pm",574459,76.98%,
"Jun 22, 07:00 pm",622100,83.36%,
"Jun 22, 08:00 pm",446000,59.76%,
"Jun 22, 09:00 pm",312545,41.88%,
"Jun 22, 10:00 pm",245271,32.87%,
"Jun 22, 11:00 pm",75255.5,10.08%,
"Jun 23, 12:00 am",28578.1,3.83%,
"Jun 23, 01:00 am",5613.98,0.75%,
"Jun 23, 02:00 am",0,0.00%,
"Jun 23, 03:00 am",0,0.00%,
"Jun 23, 04:00 am",0,0.00%,
"Jun 23, 05:00 am",0,0.00%,
"Jun 23, 06:00 am",0,0.00%,
"Jun 23, 07:00 am",0,0.00%,
"Jun 23, 08:00 am",0,0.00%,
"Jun 23, 09:00 am",0,0.00%,
"Jun 23, 10:00 am",8473.47,1.14%,
"Jun 23, 11:00 am",26272,3.52%,
"Jun 23, 12:00 pm",89650.4,12.01%,
"Jun 23, 01:00 pm",285167,38.21%,
"Jun 23, 02:00 pm",454508,60.90%,
"Jun 23, 03:00 pm",533024,71.43%,
"Jun 23, 04:00 pm",644365,86.34%,
"Jun 23, 05:00 pm",665049,89.12%,
"Jun 23, 06:00 pm",600639,80.49%,
"Jun 23, 07:00 pm",517801,69.39%,
"Jun 23, 08:00 pm",490502,65.73%,
"Jun 23, 09:00 pm",390536,52.33%,
"Jun 23, 10:00 pm",233329,31.27%,
"Jun 23, 11:00 pm",80690.6,10.81%,
"Jun 24, 12:00 am",32498.4,4.35%,
"Jun 24, 01:00 am",5651.83,0.76%,
"Jun 24, 02:00 am",0,0.00%,
"Jun 24, 03:00 am",0,0.00%,
"Jun 24, 04:00 am",0,0.00%,
"Jun 24, 05:00 am",0,0.00%,
"Jun 24, 06:00 am",0,0.00%,
"Jun 24, 07:00 am",0,0.00%,
"Jun 24, 08:00 am",0,0.00%,
"Jun 24, 09:00 am",0,0.00%,
"Jun 24, 10:00 am",4244.74,0.57%,
"Jun 24, 11:00 am",22733.8,3.05%,
"Jun 24, 12:00 pm",90973.6,12.19%,
"Jun 24, 01:00 pm",235233,31.52%,
"Jun 24, 02:00 pm",326167,43.71%,
"Jun 24, 03:00 pm",419181,56.17%,
"Jun 24, 04:00 pm",424027,56.82%,
"Jun 24, 05:00 pm",491492,65.86%,
"Jun 24, 06:00 pm",564653,75.66%,
"Jun 24, 07:00 pm",488261,65.43%,
"Jun 24, 08:00 pm",481118,64.47%,
"Jun 24, 09:00 pm",434889,58.28%,
"Jun 24, 10:00 pm",247821,33.21%,
"Jun 24, 11:00 pm",73302.7,9.82%,
"Jun 25, 12:00 am",25017.4,3.35%,
"Jun 25, 01:00 am",6502.76,0.87%,
"Jun 25, 02:00 am",0,0.00%,
"Jun 25, 03:00 am",0,0.00%,
"Jun 25, 04:00 am",0,0.00%,
"Jun 25, 05:00 am",0,0.00%,
"Jun 25, 06:00 am",0,0.00%,
"Jun 25, 07:00 am",0,0.00%,
"Jun 25, 08:00 am",0,0.00%,
"Jun 25, 09:00 am",0,0.00%,
"Jun 25, 10:00 am",8180.13,1.10%,
"Jun 25, 11:00 am",25627.4,3.43%,
"Jun 25, 12:00 pm",88657.1,11.88%,
"Jun 25, 01:00 pm",285041,38.20%,
"Jun 25, 02:00 pm",455039,60.98%,
"Jun 25, 03:00 pm",571069,76.52%,
"Jun 25, 04:00 pm",645632,86.51%,
"Jun 25, 05:00 pm",679975,91.12%,
"Jun 25, 06:00 pm",622689,83.44%,
"Jun 25, 07:00 pm",530052,71.03%,
"Jun 25, 08:00 pm",478803,64.16%,
"Jun 25, 09:00 pm",390685,52.35%,
"Jun 25, 10:00 pm",242803,32.54%,
"Jun 25, 11:00 pm",75558.2,10.12%,
"Jun 26, 12:00 am",29677.7,3.98%,
"Jun 26, 01:00 am",6807.35,0.91%,
"Jun 26, 02:00 am",0,0.00%,
"Jun 26, 03:00 am",0,0.00%,
"Jun 26, 04:00 am",0,0.00%,
"Jun 26, 05:00 am",0,0.00%,
"Jun 26, 06:00 am",0,0.00%,
"Jun 26, 07:00 am",0,0.00%,
"Jun 26, 08:00 am",0,0.00%,
"Jun 26, 09:00 am",0,0.00%,
"Jun 26, 10:00 am",2551.1,0.34%,
"Jun 26, 11:00 am",6563.66,0.88%,
"Jun 26, 12:00 pm",72401.4,9.70%,
"Jun 26, 01:00 pm",210426,28.20%,
"Jun 26, 02:00 pm",443313,59.40%,
"Jun 26, 03:00 pm",558993,74.90%,
"Jun 26, 04:00 pm",632519,84.76%,
"Jun 26, 05:00 pm",667760,89.48%,
"Jun 26, 06:00 pm",560541,75.11%,
"Jun 26, 07:00 pm",621762,83.32%,
"Jun 26, 08:00 pm",491464,65.86%,
"Jun 26, 09:00 pm",408598,54.75%,
"Jun 26, 10:00 pm",218615,29.29%,
"Jun 26, 11:00 pm",79901.3,10.71%,
"Jun 27, 12:00 am",29886.5,4.00%,
"Jun 27, 01:00 am",5723.43,0.77%,
"Jun 27, 02:00 am",0,0.00%,
"Jun 27, 03:00 am",0,0.00%,
"Jun 27, 04:00 am",0,0.00%,
"Jun 27, 05:00 am",0,0.00%,
"Jun 27, 06:00 am",0,0.00%,
"Jun 27, 07:00 am",0,0.00%,
"Jun 27, 08:00 am",0,0.00%,
"Jun 27, 09:00 am",0,0.00%,
"Jun 27, 10:00 am",6388.2,0.86%,
"Jun 27, 11:00 am",41451.9,5.55%,
"Jun 27, 12:00 pm",55581.7,7.45%,
"Jun 27, 01:00 pm",33122.9,4.44%,
"Jun 27, 02:00 pm",202398,27.12%,
"Jun 27, 03:00 pm",80845.4,10.83%,
"Jun 27, 04:00 pm",180491,24.19%,
"Jun 27, 05:00 pm",252170,33.79%,
"Jun 27, 06:00 pm",195527,26.20%,
"Jun 27, 07:00 pm",276611,37.07%,
"Jun 27, 08:00 pm",439849,58.94%,
"Jun 27, 09:00 pm",383338,51.37%,
"Jun 27, 10:00 pm",204616,27.42%,
"Jun 27, 11:00 pm",71296.2,9.55%,
"Jun 28, 12:00 am",26686.2,3.58%,
"Jun 28, 01:00 am",5535.57,0.74%,
"Jun 28, 02:00 am",0,0.00%,
"Jun 28, 03:00 am",0,0.00%,
"Jun 28, 04:00 am",0,0.00%,
"Jun 28, 05:00 am",0,0.00%,
"Jun 28, 06:00 am",0,0.00%,
"Jun 28, 07:00 am",0,0.00%,
"Jun 28, 08:00 am",0,0.00%,
"Jun 28, 09:00 am",0,0.00%,
"Jun 28, 10:00 am",7918.41,1.06%,
"Jun 28, 11:00 am",24193.7,3.24%,
"Jun 28, 12:00 pm",83849.8,11.24%,
"Jun 28, 01:00 pm",271814,36.42%,
"Jun 28, 02:00 pm",438481,58.76%,
"Jun 28, 03:00 pm",553841,74.21%,
"Jun 28, 04:00 pm",625642,83.84%,
"Jun 28, 05:00 pm",630151,84.44%,
"Jun 28, 06:00 pm",561134,75.19%,
"Jun 28, 07:00 pm",578065,77.46%,
"Jun 28, 08:00 pm",418214,56.04%,
"Jun 28, 09:00 pm",302876,40.59%,
"Jun 28, 10:00 pm",105939,14.20%,
"Jun 28, 11:00 pm",68990.9,9.24%,
"Jun 29, 12:00 am",36745.1,4.92%,
"Jun 29, 01:00 am",4428.47,0.59%,
"Jun 29, 02:00 am",0,0.00%,
"Jun 29, 03:00 am",0,0.00%,
"Jun 29, 04:00 am",0,0.00%,
"Jun 29, 05:00 am",0,0.00%,
"Jun 29, 06:00 am",0,0.00%,
"Jun 29, 07:00 am",0,0.00%,
"Jun 29, 08:00 am",0,0.00%,
"Jun 29, 09:00 am",0,0.00%,
"Jun 29, 10:00 am",7310.21,0.98%,
"Jun 29, 11:00 am",29210.9,3.91%,
"Jun 29, 12:00 pm",88993.9,11.93%,
"Jun 29, 01:00 pm",229965,30.82%,
"Jun 29, 02:00 pm",246909,33.09%,
"Jun 29, 03:00 pm",31538.8,4.23%,
"Jun 29, 04:00 pm",40412.1,5.42%,
"Jun 29, 05:00 pm",257660,34.53%,
"Jun 29, 06:00 pm",511743,68.57%,
"Jun 29, 07:00 pm",491732,65.89%,
"Jun 29, 08:00 pm",430914,57.74%,
"Jun 29, 09:00 pm",373345,50.03%,
"Jun 29, 10:00 pm",221889,29.73%,
"Jun 29, 11:00 pm",78744.4,10.55%,
"Jun 30, 12:00 am",28586.5,3.83%,
"Jun 30, 01:00 am",5351.75,0.72%,
"Jun 30, 02:00 am",0,0.00%,
"Jun 30, 03:00 am",0,0.00%,
"Jun 30, 04:00 am",0,0.00%,
"Jun 30, 05:00 am",0,0.00%,
"Jun 30, 06:00 am",0,0.00%,
"Jun 30, 07:00 am",0,0.00%,
"Jun 30, 08:00 am",0,0.00%,
"Jun 30, 09:00 am",0,0.00%,
"Jun 30, 10:00 am",1695.59,0.23%,
"Jun 30, 11:00 am",7916.38,1.06%,
"Jun 30, 12:00 pm",13578.8,1.82%,
"Jun 30, 01:00 pm",47519.8,6.37%,
"Jun 30, 02:00 pm",54202.2,7.26%,
"Jun 30, 03:00 pm",192825,25.84%,
"Jun 30, 04:00 pm",256735,34.40%,
"Jun 30, 05:00 pm",425186,56.97%,
"Jun 30, 06:00 pm",625268,83.79%,
"Jun 30, 07:00 pm",538265,72.13%,
"Jun 30, 08:00 pm",497817,66.71%,
"Jun 30, 09:00 pm",399543,53.54%,
"Jun 30, 10:00 pm",237651,31.85%,
"Jun 30, 11:00 pm",51977.6,6.96%,
"Jul 1, 12:00 am",3503.19,0.47%,
"Jul 1, 01:00 am",1436.54,0.19%,
"Jul 1, 02:00 am",0,0.00%,
"Jul 1, 03:00 am",0,0.00%,
"Jul 1, 04:00 am",0,0.00%,
"Jul 1, 05:00 am",0,0.00%,
"Jul 1, 06:00 am",0,0.00%,
"Jul 1, 07:00 am",0,0.00%,
"Jul 1, 08:00 am",0,0.00%,
"Jul 1, 09:00 am",0,0.00%,
"Jul 1, 10:00 am",4317.76,0.58%,
"Jul 1, 11:00 am",25940.9,3.48%,
"Jul 1, 12:00 pm",48865.2,6.55%,
"Jul 1, 01:00 pm",198745,26.63%,
"Jul 1, 02:00 pm",187958,25.19%,
"Jul 1, 03:00 pm",99576.4,13.34%,
"Jul 1, 04:00 pm",49684,6.66%,
"Jul 1, 05:00 pm",60795.6,8.15%,
"Jul 1, 06:00 pm",129640,17.37%,
"Jul 1, 07:00 pm",351928,47.16%,
"Jul 1, 08:00 pm",379949,50.91%,
"Jul 1, 09:00 pm",245459,32.89%,
"Jul 1, 10:00 pm",224535,30.09%,
"Jul 1, 11:00 pm",73218.9,9.81%,
"Jul 2, 12:00 am",27490.3,3.68%,
"Jul 2, 01:00 am",4305.38,0.58%,
"Jul 2, 02:00 am",0,0.00%,
"Jul 2, 03:00 am",0,0.00%,
"Jul 2, 04:00 am",0,0.00%,
"Jul 2, 05:00 am",0,0.00%,
"Jul 2, 06:00 am",0,0.00%,
"Jul 2, 07:00 am",0,0.00%,
"Jul 2, 08:00 am",0,0.00%,
"Jul 2, 09:00 am",0,0.00%,
"Jul 2, 10:00 am",6777.01,0.91%,
"Jul 2, 11:00 am",19206.5,2.57%,
"Jul 2, 12:00 pm",74172.4,9.94%,
"Jul 2, 01:00 pm",269652,36.13%,
"Jul 2, 02:00 pm",439505,58.89%,
"Jul 2, 03:00 pm",557554,74.71%,
"Jul 2, 04:00 pm",636599,85.30%,
"Jul 2, 05:00 pm",674641,90.40%,
"Jul 2, 06:00 pm",672665,90.14%,
"Jul 2, 07:00 pm",627211,84.05%,
"Jul 2, 08:00 pm",544881,73.01%,
"Jul 2, 09:00 pm",423242,56.71%,
"Jul 2, 10:00 pm",216002,28.94%,
"Jul 2, 11:00 pm",78816.9,10.56%,
"Jul 3, 12:00 am",33101.2,4.44%,
"Jul 3, 01:00 am",5471.15,0.73%,
"Jul 3, 02:00 am",0,0.00%,
"Jul 3, 03:00 am",0,0.00%,
"Jul 3, 04:00 am",0,0.00%,
"Jul 3, 05:00 am",0,0.00%,
"Jul 3, 06:00 am",0,0.00%,
"Jul 3, 07:00 am",0,0.00%,
"Jul 3, 08:00 am",0,0.00%,
"Jul 3, 09:00 am",0,0.00%,
"Jul 3, 10:00 am",1718.63,0.23%,
"Jul 3, 11:00 am",14217.3,1.91%,
"Jul 3, 12:00 pm",89589,12.00%,
"Jul 3, 01:00 pm",179301,24.03%,
"Jul 3, 02:00 pm",407840,54.65%,
"Jul 3, 03:00 pm",421682,56.51%,
"Jul 3, 04:00 pm",537537,72.03%,
"Jul 3, 05:00 pm",445921,59.75%,
"Jul 3, 06:00 pm",178814,23.96%,
"Jul 3, 07:00 pm",151553,20.31%,
"Jul 3, 08:00 pm",368554,49.39%,
"Jul 3, 09:00 pm",381451,51.11%,
"Jul 3, 10:00 pm",88329,11.84%,
"Jul 3, 11:00 pm",47605.6,6.38%,
"Jul 4, 12:00 am",14060,1.88%,
"Jul 4, 01:00 am",3819.57,0.51%,
"Jul 4, 02:00 am",0,0.00%,
"Jul 4, 03:00 am",0,0.00%,
"Jul 4, 04:00 am",0,0.00%,
"Jul 4, 05:00 am",0,0.00%,
"Jul 4, 06:00 am",0,0.00%,
"Jul 4, 07:00 am",0,0.00%,
"Jul 4, 08:00 am",0,0.00%,
"Jul 4, 09:00 am",0,0.00%,
"Jul 4, 10:00 am",6380.07,0.85%,
"Jul 4, 11:00 am",37352.5,5.01%,
"Jul 4, 12:00 pm",89716.9,12.02%,
"Jul 4, 01:00 pm",253347,33.95%,
"Jul 4, 02:00 pm",408491,54.74%,
"Jul 4, 03:00 pm",495468,66.39%,
"Jul 4, 04:00 pm",491902,65.91%,
"Jul 4, 05:00 pm",608150,81.49%,
"Jul 4, 06:00 pm",614416,82.33%,
"Jul 4, 07:00 pm",65673.2,8.80%,
"Jul 4, 08:00 pm",47148.6,6.32%,
"Jul 4, 09:00 pm",233269,31.26%,
"Jul 4, 10:00 pm",137113,18.37%,
"Jul 4, 11:00 pm",83948.9,11.25%,
"Jul 5, 12:00 am",34632.5,4.64%,
"Jul 5, 01:00 am",5788.39,0.78%,
"Jul 5, 02:00 am",0,0.00%,
"Jul 5, 03:00 am",0,0.00%,
"Jul 5, 04:00 am",0,0.00%,
"Jul 5, 05:00 am",0,0.00%,
"Jul 5, 06:00 am",0,0.00%,
"Jul 5, 07:00 am",0,0.00%,
"Jul 5, 08:00 am",0,0.00%,
"Jul 5, 09:00 am",0,0.00%,
"Jul 5, 10:00 am",5977.33,0.80%,
"Jul 5, 11:00 am",36360.1,4.87%,
"Jul 5, 12:00 pm",89952.4,12.05%,
"Jul 5, 01:00 pm",221016,29.62%,
"Jul 5, 02:00 pm",448643,60.12%,
"Jul 5, 03:00 pm",500546,67.07%,
"Jul 5, 04:00 pm",628642,84.24%,
"Jul 5, 05:00 pm",695703,93.22%,
"Jul 5, 06:00 pm",695200,93.16%,
"Jul 5, 07:00 pm",653378,87.55%,
"Jul 5, 08:00 pm",570113,76.40%,
"Jul 5, 09:00 pm",446029,59.77%,
"Jul 5, 10:00 pm",268739,36.01%,
"Jul 5, 11:00 pm",73576.8,9.86%,
"Jul 6, 12:00 am",23278.4,3.12%,
"Jul 6, 01:00 am",6415.94,0.86%,
"Jul 6, 02:00 am",0,0.00%,
"Jul 6, 03:00 am",0,0.00%,
"Jul 6, 04:00 am",0,0.00%,
"Jul 6, 05:00 am",0,0.00%,
"Jul 6, 06:00 am",0,0.00%,
"Jul 6, 07:00 am",0,0.00%,
"Jul 6, 08:00 am",0,0.00%,
"Jul 6, 09:00 am",0,0.00%,
"Jul 6, 10:00 am",6444.49,0.86%,
"Jul 6, 11:00 am",23003.1,3.08%,
"Jul 6, 12:00 pm",81468.9,10.92%,
"Jul 6, 01:00 pm",275609,36.93%,
"Jul 6, 02:00 pm",447242,59.93%,
"Jul 6, 03:00 pm",566226,75.87%,
"Jul 6, 04:00 pm",644378,86.35%,
"Jul 6, 05:00 pm",682056,91.40%,
"Jul 6, 06:00 pm",681071,91.26%,
"Jul 6, 07:00 pm",638580,85.57%,
"Jul 6, 08:00 pm",558197,74.80%,
"Jul 6, 09:00 pm",436568,58.50%,
"Jul 6, 10:00 pm",263659,35.33%,
"Jul 6, 11:00 pm",74038.1,9.92%,
"Jul 7, 12:00 am",23666.8,3.17%,
"Jul 7, 01:00 am",5919.76,0.79%,
"Jul 7, 02:00 am",0,0.00%,
"Jul 7, 03:00 am",0,0.00%,
"Jul 7, 04:00 am",0,0.00%,
"Jul 7, 05:00 am",0,0.00%,
"Jul 7, 06:00 am",0,0.00%,
"Jul 7, 07:00 am",0,0.00%,
"Jul 7, 08:00 am",0,0.00%,
"Jul 7, 09:00 am",0,0.00%,
"Jul 7, 10:00 am",6870.9,0.92%,
"Jul 7, 11:00 am",22307.3,2.99%,
"Jul 7, 12:00 pm",79705.6,10.68%,
"Jul 7, 01:00 pm",269859,36.16%,
"Jul 7, 02:00 pm",439123,58.84%,
"Jul 7, 03:00 pm",555972,74.50%,
"Jul 7, 04:00 pm",632317,84.73%,
"Jul 7, 05:00 pm",668372,89.56%,
"Jul 7, 06:00 pm",665817,89.22%,
"Jul 7, 07:00 pm",625102,83.76%,
"Jul 7, 08:00 pm",546982,73.30%,
"Jul 7, 09:00 pm",430288,57.66%,
"Jul 7, 10:00 pm",263248,35.28%,
"Jul 7, 11:00 pm",74665.5,10.01%,
"Jul 8, 12:00 am",23048.2,3.09%,
"Jul 8, 01:00 am",5912.52,0.79%,
"Jul 8, 02:00 am",0,0.00%,
"Jul 8, 03:00 am",0,0.00%,
"Jul 8, 04:00 am",0,0.00%,
"Jul 8, 05:00 am",0,0.00%,
"Jul 8, 06:00 am",0,0.00%,
"Jul 8, 07:00 am",0,0.00%,
"Jul 8, 08:00 am",0,0.00%,
"Jul 8, 09:00 am",0,0.00%,
"Jul 8, 10:00 am",6813.19,0.91%,
"Jul 8, 11:00 am",25092.4,3.36%,
"Jul 8, 12:00 pm",77587.2,10.40%,
"Jul 8, 01:00 pm",260323,34.88%,
"Jul 8, 02:00 pm",425973,57.08%,
"Jul 8, 03:00 pm",542475,72.69%,
"Jul 8, 04:00 pm",619228,82.98%,
"Jul 8, 05:00 pm",365091,48.92%,
"Jul 8, 06:00 pm",302838,40.58%,
"Jul 8, 07:00 pm",609921,81.73%,
"Jul 8, 08:00 pm",530825,71.13%,
"Jul 8, 09:00 pm",413839,55.45%,
"Jul 8, 10:00 pm",240934,32.29%,
"Jul 8, 11:00 pm",83041.9,11.13%,
"Jul 9, 12:00 am",23696.1,3.18%,
"Jul 9, 01:00 am",5006.66,0.67%,
"Jul 9, 02:00 am",0,0.00%,
"Jul 9, 03:00 am",0,0.00%,
"Jul 9, 04:00 am",0,0.00%,
"Jul 9, 05:00 am",0,0.00%,
"Jul 9, 06:00 am",0,0.00%,
"Jul 9, 07:00 am",0,0.00%,
"Jul 9, 08:00 am",0,0.00%,
"Jul 9, 09:00 am",0,0.00%,
"Jul 9, 10:00 am",2264.6,0.30%,
"Jul 9, 11:00 am",26232.3,3.52%,
"Jul 9, 12:00 pm",78966.5,10.58%,
"Jul 9, 01:00 pm",133221,17.85%,
"Jul 9, 02:00 pm",294502,39.46%,
"Jul 9, 03:00 pm",284661,38.14%,
"Jul 9, 04:00 pm",549339,73.61%,
"Jul 9, 05:00 pm",664300,89.02%,
"Jul 9, 06:00 pm",670085,89.79%,
"Jul 9, 07:00 pm",631936,84.68%,
"Jul 9, 08:00 pm",555135,74.39%,
"Jul 9, 09:00 pm",437443,58.62%,
"Jul 9, 10:00 pm",265906,35.63%,
"Jul 9, 11:00 pm",74696.1,10.01%,
"Jul 10, 12:00 am",22569.6,3.02%,
"Jul 10, 01:00 am",5966.4,0.80%,
"Jul 10, 02:00 am",0,0.00%,
"Jul 10, 03:00 am",0,0.00%,
"Jul 10, 04:00 am",0,0.00%,
"Jul 10, 05:00 am",0,0.00%,
"Jul 10, 06:00 am",0,0.00%,
"Jul 10, 07:00 am",0,0.00%,
"Jul 10, 08:00 am",0,0.00%,
"Jul 10, 09:00 am",0,0.00%,
"Jul 10, 10:00 am",6023.57,0.81%,
"Jul 10, 11:00 am",22939.1,3.07%,
"Jul 10, 12:00 pm",79478.1,10.65%,
"Jul 10, 01:00 pm",263295,35.28%,
"Jul 10, 02:00 pm",369971,49.58%,
"Jul 10, 03:00 pm",317410,42.53%,
"Jul 10, 04:00 pm",465928,62.43%,
"Jul 10, 05:00 pm",507789,68.04%,
"Jul 10, 06:00 pm",622772,83.45%,
"Jul 10, 07:00 pm",619647,83.03%,
"Jul 10, 08:00 pm",515747,69.11%,
"Jul 10, 09:00 pm",424846,56.93%,
"Jul 10, 10:00 pm",258512,34.64%,
"Jul 10, 11:00 pm",76557.5,10.26%,
"Jul 11, 12:00 am",23224.2,3.11%,
"Jul 11, 01:00 am",5522.23,0.74%,
"Jul 11, 02:00 am",0,0.00%,
"Jul 11, 03:00 am",0,0.00%,
"Jul 11, 04:00 am",0,0.00%,
"Jul 11, 05:00 am",0,0.00%,
"Jul 11, 06:00 am",0,0.00%,
"Jul 11, 07:00 am",0,0.00%,
"Jul 11, 08:00 am",0,0.00%,
"Jul 11, 09:00 am",0,0.00%,
"Jul 11, 10:00 am",4750.69,0.64%,
"Jul 11, 11:00 am",32287.4,4.33%,
"Jul 11, 12:00 pm",79388.9,10.64%,
"Jul 11, 01:00 pm",136343,18.27%,
"Jul 11, 02:00 pm",213385,28.59%,
"Jul 11, 03:00 pm",532043,71.29%,
"Jul 11, 04:00 pm",450052,60.31%,
"Jul 11, 05:00 pm",265312,35.55%,
"Jul 11, 06:00 pm",308437,41.33%,
"Jul 11, 07:00 pm",197502,26.47%,
"Jul 11, 08:00 pm",78247.2,10.49%,
"Jul 11, 09:00 pm",168657,22.60%,
"Jul 11, 10:00 pm",90886.8,12.18%,
"Jul 11, 11:00 pm",85787.3,11.50%,
"Jul 12, 12:00 am",30288.1,4.06%,
"Jul 12, 01:00 am",4242.51,0.57%,
"Jul 12, 02:00 am",0,0.00%,
"Jul 12, 03:00 am",0,0.00%,
"Jul 12, 04:00 am",0,0.00%,
"Jul 12, 05:00 am",0,0.00%,
"Jul 12, 06:00 am",0,0.00%,
"Jul 12, 07:00 am",0,0.00%,
"Jul 12, 08:00 am",0,0.00%,
"Jul 12, 09:00 am",0,0.00%,
"Jul 12, 10:00 am",1485.13,0.20%,
"Jul 12, 11:00 am",5253.33,0.70%,
"Jul 12, 12:00 pm",9838.49,1.32%,
"Jul 12, 01:00 pm",22440,3.01%,
"Jul 12, 02:00 pm",96888.7,12.98%,
"Jul 12, 03:00 pm",237148,31.78%,
"Jul 12, 04:00 pm",400490,53.67%,
"Jul 12, 05:00 pm",253904,34.02%,
"Jul 12, 06:00 pm",176622,23.67%,
"Jul 12, 07:00 pm",141166,18.92%,
"Jul 12, 08:00 pm",249795,33.47%,
"Jul 12, 09:00 pm",184971,24.79%,
"Jul 12, 10:00 pm",166541,22.32%,
"Jul 12, 11:00 pm",84436.2,11.31%,
"Jul 13, 12:00 am",29543.8,3.96%,
"Jul 13, 01:00 am",5016.63,0.67%,
"Jul 13, 02:00 am",0,0.00%,
"Jul 13, 03:00 am",0,0.00%,
"Jul 13, 04:00 am",0,0.00%,
"Jul 13, 05:00 am",0,0.00%,
"Jul 13, 06:00 am",0,0.00%,
"Jul 13, 07:00 am",0,0.00%,
"Jul 13, 08:00 am",0,0.00%,
"Jul 13, 09:00 am",0,0.00%,
"Jul 13, 10:00 am",1484.24,0.20%,
"Jul 13, 11:00 am",6918.44,0.93%,
"Jul 13, 12:00 pm",15051.7,2.02%,
"Jul 13, 01:00 pm",48638.8,6.52%,
"Jul 13, 02:00 pm",70068.5,9.39%,
"Jul 13, 03:00 pm",102761,13.77%,
"Jul 13, 04:00 pm",338931,45.42%,
"Jul 13, 05:00 pm",413455,55.40%,
"Jul 13, 06:00 pm",393546,52.74%,
"Jul 13, 07:00 pm",360577,48.32%,
"Jul 13, 08:00 pm",382066,51.20%,
"Jul 13, 09:00 pm",352129,47.19%,
"Jul 13, 10:00 pm",219705,29.44%,
"Jul 13, 11:00 pm",77295.5,10.36%,
"Jul 14, 12:00 am",25092.7,3.36%,
"Jul 14, 01:00 am",4692.42,0.63%,
"Jul 14, 02:00 am",0,0.00%,
"Jul 14, 03:00 am",0,0.00%,
"Jul 14, 04:00 am",0,0.00%,
"Jul 14, 05:00 am",0,0.00%,
"Jul 14, 06:00 am",0,0.00%,
"Jul 14, 07:00 am",0,0.00%,
"Jul 14, 08:00 am",0,0.00%,
"Jul 14, 09:00 am",0,0.00%,
"Jul 14, 10:00 am",4735.89,0.63%,
"Jul 14, 11:00 am",22951.8,3.08%,
"Jul 14, 12:00 pm",77152.1,10.34%,
"Jul 14, 01:00 pm",260123,34.86%,
"Jul 14, 02:00 pm",425710,57.05%,
"Jul 14, 03:00 pm",537949,72.09%,
"Jul 14, 04:00 pm",612924,82.13%,
"Jul 14, 05:00 pm",649628,87.05%,
"Jul 14, 06:00 pm",649813,87.07%,
"Jul 14, 07:00 pm",611610,81.96%,
"Jul 14, 08:00 pm",534847,71.67%,
"Jul 14, 09:00 pm",417436,55.94%,
"Jul 14, 10:00 pm",254042,34.04%,
"Jul 14, 11:00 pm",74251.2,9.95%,
"Jul 15, 12:00 am",21053.8,2.82%,
"Jul 15, 01:00 am",4962.82,0.67%,
"Jul 15, 02:00 am",0,0.00%,
"Jul 15, 03:00 am",0,0.00%,
"Jul 15, 04:00 am",0,0.00%,
"Jul 15, 05:00 am",0,0.00%,
"Jul 15, 06:00 am",0,0.00%,
"Jul 15, 07:00 am",0,0.00%,
"Jul 15, 08:00 am",0,0.00%,
"Jul 15, 09:00 am",0,0.00%,
"Jul 15, 10:00 am",4284.99,0.57%,
"Jul 15, 11:00 am",24070.7,3.23%,
"Jul 15, 12:00 pm",74737.2,10.01%,
"Jul 15, 01:00 pm",257918,34.56%,
"Jul 15, 02:00 pm",358145,47.99%,
"Jul 15, 03:00 pm",503007,67.40%,
"Jul 15, 04:00 pm",616297,82.58%,
"Jul 15, 05:00 pm",629185,84.31%,
"Jul 15, 06:00 pm",515254,69.04%,
"Jul 15, 07:00 pm",518061,69.42%,
"Jul 15, 08:00 pm",423954,56.81%,
"Jul 15, 09:00 pm",315280,42.25%,
"Jul 15, 10:00 pm",204092,27.35%,
"Jul 15, 11:00 pm",69038.9,9.25%,
